GTS_DEGREE_ID,GTS_DEGREE_NAME,GTS_DEGREE_DESCRIPTION,GTS_DEGREE_STATUS
21,Doctor of Philosophy,"A doctoral degree that typically requires extensive research, academic writing, and original contributions to knowledge.",TRUE
22,Master of Business Administration,"A graduate-level degree focusing on business management, leadership, and organizational strategies.",TRUE
23,Doctor of Philosophy,"A doctoral degree that typically requires extensive research, academic writing, and original contributions to knowledge.",FALSE
24,Doctor of Philosophy,"A doctoral degree that typically requires extensive research, academic writing, and original contributions to knowledge.",FALSE
25,Juris Doctor,"A professional graduate degree in law, typically required to practice law in many countries.",TRUE
26,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",TRUE
27,Doctor of Philosophy,"A doctoral degree that typically requires extensive research, academic writing, and original contributions to knowledge.",TRUE
28,Juris Doctor,"A professional graduate degree in law, typically required to practice law in many countries.",FALSE
29,Juris Doctor,"A professional graduate degree in law, typically required to practice law in many countries.",FALSE
30,Engineering Degree,"A degree focusing on the principles of engineering, including mechanical, civil, electrical, and software engineering.",TRUE
31,Engineering Degree,"A degree focusing on the principles of engineering, including mechanical, civil, electrical, and software engineering.",FALSE
32,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",TRUE
33,Master of Science,"A graduate-level degree focusing on advanced knowledge and research in science, technology, and engineering.",FALSE
34,Engineering Degree,"A degree focusing on the principles of engineering, including mechanical, civil, electrical, and software engineering.",TRUE
35,Master of Science,"A graduate-level degree focusing on advanced knowledge and research in science, technology, and engineering.",TRUE
36,Bachelor of Arts,"A bachelor's degree focusing on humanities, social sciences, or fine arts.",FALSE
37,Doctor of Philosophy,"A doctoral degree that typically requires extensive research, academic writing, and original contributions to knowledge.",FALSE
38,Engineering Degree,"A degree focusing on the principles of engineering, including mechanical, civil, electrical, and software engineering.",TRUE
39,Juris Doctor,"A professional graduate degree in law, typically required to practice law in many countries.",FALSE
40,Juris Doctor,"A professional graduate degree in law, typically required to practice law in many countries.",TRUE
41,Engineering Degree,"A degree focusing on the principles of engineering, including mechanical, civil, electrical, and software engineering.",TRUE
42,Master of Science,"A graduate-level degree focusing on advanced knowledge and research in science, technology, and engineering.",FALSE
43,Master of Science,"A graduate-level degree focusing on advanced knowledge and research in science, technology, and engineering.",TRUE
44,Engineering Degree,"A degree focusing on the principles of engineering, including mechanical, civil, electrical, and software engineering.",TRUE
45,Associate Degree,"A two-year degree typically awarded by community colleges, often a stepping stone to a bachelor's degree.",TRUE
46,Juris Doctor,"A professional graduate degree in law, typically required to practice law in many countries.",TRUE
47,Doctor of Philosophy,"A doctoral degree that typically requires extensive research, academic writing, and original contributions to knowledge.",TRUE
48,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",TRUE
49,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",TRUE
50,Bachelor of Science,"A bachelor's degree focusing on science, technology, engineering, or mathematics fields.",TRUE
51,Engineering Degree,"A degree focusing on the principles of engineering, including mechanical, civil, electrical, and software engineering.",FALSE
52,Bachelor of Arts,"A bachelor's degree focusing on humanities, social sciences, or fine arts.",TRUE
53,Doctor of Education,"A doctoral degree that focuses on education theory, practice, and leadership in educational settings.",TRUE
54,Engineering Degree,"A degree focusing on the principles of engineering, including mechanical, civil, electrical, and software engineering.",FALSE
55,Doctor of Education,"A doctoral degree that focuses on education theory, practice, and leadership in educational settings.",TRUE
56,Bachelor of Arts,"A bachelor's degree focusing on humanities, social sciences, or fine arts.",TRUE
57,Bachelor of Arts,"A bachelor's degree focusing on humanities, social sciences, or fine arts.",FALSE
58,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",FALSE
59,Doctor of Philosophy,"A doctoral degree that typically requires extensive research, academic writing, and original contributions to knowledge.",FALSE
60,Bachelor of Science,"A bachelor's degree focusing on science, technology, engineering, or mathematics fields.",TRUE
61,Doctor of Philosophy,"A doctoral degree that typically requires extensive research, academic writing, and original contributions to knowledge.",TRUE
62,Doctor of Education,"A doctoral degree that focuses on education theory, practice, and leadership in educational settings.",TRUE
63,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",FALSE
64,Engineering Degree,"A degree focusing on the principles of engineering, including mechanical, civil, electrical, and software engineering.",TRUE
65,Master of Science,"A graduate-level degree focusing on advanced knowledge and research in science, technology, and engineering.",FALSE
66,Master of Business Administration,"A graduate-level degree focusing on business management, leadership, and organizational strategies.",TRUE
67,Associate Degree,"A two-year degree typically awarded by community colleges, often a stepping stone to a bachelor's degree.",FALSE
68,Bachelor of Science,"A bachelor's degree focusing on science, technology, engineering, or mathematics fields.",FALSE
69,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",TRUE
70,Master of Science,"A graduate-level degree focusing on advanced knowledge and research in science, technology, and engineering.",FALSE
71,Bachelor of Science,"A bachelor's degree focusing on science, technology, engineering, or mathematics fields.",TRUE
72,Master of Science,"A graduate-level degree focusing on advanced knowledge and research in science, technology, and engineering.",TRUE
73,Master of Business Administration,"A graduate-level degree focusing on business management, leadership, and organizational strategies.",FALSE
74,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",TRUE
75,Doctor of Philosophy,"A doctoral degree that typically requires extensive research, academic writing, and original contributions to knowledge.",TRUE
76,Engineering Degree,"A degree focusing on the principles of engineering, including mechanical, civil, electrical, and software engineering.",FALSE
77,Master of Science,"A graduate-level degree focusing on advanced knowledge and research in science, technology, and engineering.",TRUE
78,Master of Business Administration,"A graduate-level degree focusing on business management, leadership, and organizational strategies.",TRUE
79,Bachelor of Science,"A bachelor's degree focusing on science, technology, engineering, or mathematics fields.",TRUE
80,Master of Business Administration,"A graduate-level degree focusing on business management, leadership, and organizational strategies.",FALSE
81,Juris Doctor,"A professional graduate degree in law, typically required to practice law in many countries.",TRUE
82,Associate Degree,"A two-year degree typically awarded by community colleges, often a stepping stone to a bachelor's degree.",FALSE
83,Engineering Degree,"A degree focusing on the principles of engineering, including mechanical, civil, electrical, and software engineering.",TRUE
84,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",FALSE
85,Master of Business Administration,"A graduate-level degree focusing on business management, leadership, and organizational strategies.",TRUE
86,Bachelor of Arts,"A bachelor's degree focusing on humanities, social sciences, or fine arts.",TRUE
87,Doctor of Education,"A doctoral degree that focuses on education theory, practice, and leadership in educational settings.",FALSE
88,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",FALSE
89,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",TRUE
90,Bachelor of Science,"A bachelor's degree focusing on science, technology, engineering, or mathematics fields.",TRUE
91,Master of Science,"A graduate-level degree focusing on advanced knowledge and research in science, technology, and engineering.",FALSE
92,Engineering Degree,"A degree focusing on the principles of engineering, including mechanical, civil, electrical, and software engineering.",FALSE
93,Master of Business Administration,"A graduate-level degree focusing on business management, leadership, and organizational strategies.",FALSE
94,Associate Degree,"A two-year degree typically awarded by community colleges, often a stepping stone to a bachelor's degree.",FALSE
95,Doctor of Philosophy,"A doctoral degree that typically requires extensive research, academic writing, and original contributions to knowledge.",FALSE
96,Doctor of Philosophy,"A doctoral degree that typically requires extensive research, academic writing, and original contributions to knowledge.",TRUE
97,Master of Science,"A graduate-level degree focusing on advanced knowledge and research in science, technology, and engineering.",FALSE
98,Doctor of Philosophy,"A doctoral degree that typically requires extensive research, academic writing, and original contributions to knowledge.",FALSE
99,Master of Business Administration,"A graduate-level degree focusing on business management, leadership, and organizational strategies.",TRUE
100,Juris Doctor,"A professional graduate degree in law, typically required to practice law in many countries.",FALSE
101,Engineering Degree,"A degree focusing on the principles of engineering, including mechanical, civil, electrical, and software engineering.",FALSE
102,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",FALSE
103,Master of Science,"A graduate-level degree focusing on advanced knowledge and research in science, technology, and engineering.",FALSE
104,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",TRUE
105,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",FALSE
106,Master of Science,"A graduate-level degree focusing on advanced knowledge and research in science, technology, and engineering.",TRUE
107,Juris Doctor,"A professional graduate degree in law, typically required to practice law in many countries.",TRUE
108,Bachelor of Science,"A bachelor's degree focusing on science, technology, engineering, or mathematics fields.",FALSE
109,Master of Business Administration,"A graduate-level degree focusing on business management, leadership, and organizational strategies.",TRUE
110,Bachelor of Arts,"A bachelor's degree focusing on humanities, social sciences, or fine arts.",TRUE
111,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",TRUE
112,Engineering Degree,"A degree focusing on the principles of engineering, including mechanical, civil, electrical, and software engineering.",TRUE
113,Master of Science,"A graduate-level degree focusing on advanced knowledge and research in science, technology, and engineering.",FALSE
114,Engineering Degree,"A degree focusing on the principles of engineering, including mechanical, civil, electrical, and software engineering.",TRUE
115,Master of Business Administration,"A graduate-level degree focusing on business management, leadership, and organizational strategies.",TRUE
116,Juris Doctor,"A professional graduate degree in law, typically required to practice law in many countries.",TRUE
117,Doctor of Philosophy,"A doctoral degree that typically requires extensive research, academic writing, and original contributions to knowledge.",TRUE
118,Bachelor of Arts,"A bachelor's degree focusing on humanities, social sciences, or fine arts.",FALSE
119,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",TRUE
120,Bachelor of Arts,"A bachelor's degree focusing on humanities, social sciences, or fine arts.",TRUE
121,Bachelor of Science,"A bachelor's degree focusing on science, technology, engineering, or mathematics fields.",FALSE
122,Bachelor of Arts,"A bachelor's degree focusing on humanities, social sciences, or fine arts.",FALSE
123,Engineering Degree,"A degree focusing on the principles of engineering, including mechanical, civil, electrical, and software engineering.",FALSE
124,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",TRUE
125,Engineering Degree,"A degree focusing on the principles of engineering, including mechanical, civil, electrical, and software engineering.",FALSE
126,Bachelor of Arts,"A bachelor's degree focusing on humanities, social sciences, or fine arts.",TRUE
127,Juris Doctor,"A professional graduate degree in law, typically required to practice law in many countries.",TRUE
128,Engineering Degree,"A degree focusing on the principles of engineering, including mechanical, civil, electrical, and software engineering.",TRUE
129,Doctor of Philosophy,"A doctoral degree that typically requires extensive research, academic writing, and original contributions to knowledge.",FALSE
130,Doctor of Philosophy,"A doctoral degree that typically requires extensive research, academic writing, and original contributions to knowledge.",FALSE
131,Engineering Degree,"A degree focusing on the principles of engineering, including mechanical, civil, electrical, and software engineering.",FALSE
132,Associate Degree,"A two-year degree typically awarded by community colleges, often a stepping stone to a bachelor's degree.",FALSE
133,Master of Science,"A graduate-level degree focusing on advanced knowledge and research in science, technology, and engineering.",FALSE
134,Bachelor of Arts,"A bachelor's degree focusing on humanities, social sciences, or fine arts.",FALSE
135,Juris Doctor,"A professional graduate degree in law, typically required to practice law in many countries.",TRUE
136,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",TRUE
137,Bachelor of Arts,"A bachelor's degree focusing on humanities, social sciences, or fine arts.",TRUE
138,Juris Doctor,"A professional graduate degree in law, typically required to practice law in many countries.",TRUE
139,Doctor of Philosophy,"A doctoral degree that typically requires extensive research, academic writing, and original contributions to knowledge.",FALSE
140,Bachelor of Science,"A bachelor's degree focusing on science, technology, engineering, or mathematics fields.",FALSE
141,Juris Doctor,"A professional graduate degree in law, typically required to practice law in many countries.",FALSE
142,Doctor of Philosophy,"A doctoral degree that typically requires extensive research, academic writing, and original contributions to knowledge.",TRUE
143,Associate Degree,"A two-year degree typically awarded by community colleges, often a stepping stone to a bachelor's degree.",FALSE
144,Engineering Degree,"A degree focusing on the principles of engineering, including mechanical, civil, electrical, and software engineering.",TRUE
145,Doctor of Philosophy,"A doctoral degree that typically requires extensive research, academic writing, and original contributions to knowledge.",FALSE
146,Engineering Degree,"A degree focusing on the principles of engineering, including mechanical, civil, electrical, and software engineering.",FALSE
147,Doctor of Philosophy,"A doctoral degree that typically requires extensive research, academic writing, and original contributions to knowledge.",FALSE
148,Doctor of Philosophy,"A doctoral degree that typically requires extensive research, academic writing, and original contributions to knowledge.",FALSE
149,Bachelor of Arts,"A bachelor's degree focusing on humanities, social sciences, or fine arts.",FALSE
150,Associate Degree,"A two-year degree typically awarded by community colleges, often a stepping stone to a bachelor's degree.",TRUE
151,Bachelor of Arts,"A bachelor's degree focusing on humanities, social sciences, or fine arts.",TRUE
152,Bachelor of Arts,"A bachelor's degree focusing on humanities, social sciences, or fine arts.",FALSE
153,Bachelor of Arts,"A bachelor's degree focusing on humanities, social sciences, or fine arts.",FALSE
154,Doctor of Education,"A doctoral degree that focuses on education theory, practice, and leadership in educational settings.",FALSE
155,Doctor of Education,"A doctoral degree that focuses on education theory, practice, and leadership in educational settings.",TRUE
156,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",FALSE
157,Master of Science,"A graduate-level degree focusing on advanced knowledge and research in science, technology, and engineering.",TRUE
158,Associate Degree,"A two-year degree typically awarded by community colleges, often a stepping stone to a bachelor's degree.",TRUE
159,Bachelor of Arts,"A bachelor's degree focusing on humanities, social sciences, or fine arts.",FALSE
160,Bachelor of Science,"A bachelor's degree focusing on science, technology, engineering, or mathematics fields.",FALSE
161,Engineering Degree,"A degree focusing on the principles of engineering, including mechanical, civil, electrical, and software engineering.",TRUE
162,Bachelor of Science,"A bachelor's degree focusing on science, technology, engineering, or mathematics fields.",FALSE
163,Bachelor of Arts,"A bachelor's degree focusing on humanities, social sciences, or fine arts.",FALSE
164,Juris Doctor,"A professional graduate degree in law, typically required to practice law in many countries.",TRUE
165,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",FALSE
166,Juris Doctor,"A professional graduate degree in law, typically required to practice law in many countries.",FALSE
167,Bachelor of Arts,"A bachelor's degree focusing on humanities, social sciences, or fine arts.",TRUE
168,Doctor of Education,"A doctoral degree that focuses on education theory, practice, and leadership in educational settings.",TRUE
169,Master of Science,"A graduate-level degree focusing on advanced knowledge and research in science, technology, and engineering.",TRUE
170,Juris Doctor,"A professional graduate degree in law, typically required to practice law in many countries.",TRUE
171,Doctor of Education,"A doctoral degree that focuses on education theory, practice, and leadership in educational settings.",TRUE
172,Bachelor of Science,"A bachelor's degree focusing on science, technology, engineering, or mathematics fields.",TRUE
173,Bachelor of Arts,"A bachelor's degree focusing on humanities, social sciences, or fine arts.",TRUE
174,Bachelor of Science,"A bachelor's degree focusing on science, technology, engineering, or mathematics fields.",FALSE
175,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",FALSE
176,Juris Doctor,"A professional graduate degree in law, typically required to practice law in many countries.",FALSE
177,Bachelor of Science,"A bachelor's degree focusing on science, technology, engineering, or mathematics fields.",TRUE
178,Bachelor of Science,"A bachelor's degree focusing on science, technology, engineering, or mathematics fields.",FALSE
179,Juris Doctor,"A professional graduate degree in law, typically required to practice law in many countries.",FALSE
180,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",TRUE
181,Associate Degree,"A two-year degree typically awarded by community colleges, often a stepping stone to a bachelor's degree.",FALSE
182,Doctor of Education,"A doctoral degree that focuses on education theory, practice, and leadership in educational settings.",FALSE
183,Juris Doctor,"A professional graduate degree in law, typically required to practice law in many countries.",FALSE
184,Master of Business Administration,"A graduate-level degree focusing on business management, leadership, and organizational strategies.",FALSE
185,Bachelor of Arts,"A bachelor's degree focusing on humanities, social sciences, or fine arts.",FALSE
186,Associate Degree,"A two-year degree typically awarded by community colleges, often a stepping stone to a bachelor's degree.",TRUE
187,Juris Doctor,"A professional graduate degree in law, typically required to practice law in many countries.",TRUE
188,Juris Doctor,"A professional graduate degree in law, typically required to practice law in many countries.",FALSE
189,Doctor of Education,"A doctoral degree that focuses on education theory, practice, and leadership in educational settings.",FALSE
190,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",FALSE
191,Bachelor of Arts,"A bachelor's degree focusing on humanities, social sciences, or fine arts.",FALSE
192,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",TRUE
193,Doctor of Education,"A doctoral degree that focuses on education theory, practice, and leadership in educational settings.",TRUE
194,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",TRUE
195,Associate Degree,"A two-year degree typically awarded by community colleges, often a stepping stone to a bachelor's degree.",TRUE
196,Master of Business Administration,"A graduate-level degree focusing on business management, leadership, and organizational strategies.",TRUE
197,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",TRUE
198,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",TRUE
199,Bachelor of Arts,"A bachelor's degree focusing on humanities, social sciences, or fine arts.",TRUE
200,Associate Degree,"A two-year degree typically awarded by community colleges, often a stepping stone to a bachelor's degree.",FALSE
201,Doctor of Education,"A doctoral degree that focuses on education theory, practice, and leadership in educational settings.",FALSE
202,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",TRUE
203,Bachelor of Arts,"A bachelor's degree focusing on humanities, social sciences, or fine arts.",TRUE
204,Master of Business Administration,"A graduate-level degree focusing on business management, leadership, and organizational strategies.",TRUE
205,Associate Degree,"A two-year degree typically awarded by community colleges, often a stepping stone to a bachelor's degree.",TRUE
206,Doctor of Philosophy,"A doctoral degree that typically requires extensive research, academic writing, and original contributions to knowledge.",FALSE
207,Associate Degree,"A two-year degree typically awarded by community colleges, often a stepping stone to a bachelor's degree.",TRUE
208,Doctor of Philosophy,"A doctoral degree that typically requires extensive research, academic writing, and original contributions to knowledge.",TRUE
209,Master of Business Administration,"A graduate-level degree focusing on business management, leadership, and organizational strategies.",TRUE
210,Associate Degree,"A two-year degree typically awarded by community colleges, often a stepping stone to a bachelor's degree.",FALSE
211,Doctor of Education,"A doctoral degree that focuses on education theory, practice, and leadership in educational settings.",TRUE
212,Master of Business Administration,"A graduate-level degree focusing on business management, leadership, and organizational strategies.",TRUE
213,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",TRUE
214,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",FALSE
215,Associate Degree,"A two-year degree typically awarded by community colleges, often a stepping stone to a bachelor's degree.",TRUE
216,Master of Business Administration,"A graduate-level degree focusing on business management, leadership, and organizational strategies.",TRUE
217,Associate Degree,"A two-year degree typically awarded by community colleges, often a stepping stone to a bachelor's degree.",TRUE
218,Associate Degree,"A two-year degree typically awarded by community colleges, often a stepping stone to a bachelor's degree.",FALSE
219,Master of Business Administration,"A graduate-level degree focusing on business management, leadership, and organizational strategies.",FALSE
220,Doctor of Philosophy,"A doctoral degree that typically requires extensive research, academic writing, and original contributions to knowledge.",TRUE
221,Doctor of Philosophy,"A doctoral degree that typically requires extensive research, academic writing, and original contributions to knowledge.",FALSE
222,Master of Science,"A graduate-level degree focusing on advanced knowledge and research in science, technology, and engineering.",FALSE
223,Bachelor of Science,"A bachelor's degree focusing on science, technology, engineering, or mathematics fields.",FALSE
224,Associate Degree,"A two-year degree typically awarded by community colleges, often a stepping stone to a bachelor's degree.",TRUE
225,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",TRUE
226,Engineering Degree,"A degree focusing on the principles of engineering, including mechanical, civil, electrical, and software engineering.",TRUE
227,Juris Doctor,"A professional graduate degree in law, typically required to practice law in many countries.",FALSE
228,Doctor of Education,"A doctoral degree that focuses on education theory, practice, and leadership in educational settings.",TRUE
229,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",TRUE
230,Bachelor of Science,"A bachelor's degree focusing on science, technology, engineering, or mathematics fields.",FALSE
231,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",TRUE
232,Master of Business Administration,"A graduate-level degree focusing on business management, leadership, and organizational strategies.",FALSE
233,Bachelor of Arts,"A bachelor's degree focusing on humanities, social sciences, or fine arts.",TRUE
234,Bachelor of Arts,"A bachelor's degree focusing on humanities, social sciences, or fine arts.",FALSE
235,Master of Business Administration,"A graduate-level degree focusing on business management, leadership, and organizational strategies.",FALSE
236,Master of Science,"A graduate-level degree focusing on advanced knowledge and research in science, technology, and engineering.",TRUE
237,Engineering Degree,"A degree focusing on the principles of engineering, including mechanical, civil, electrical, and software engineering.",TRUE
238,Master of Business Administration,"A graduate-level degree focusing on business management, leadership, and organizational strategies.",FALSE
239,Bachelor of Arts,"A bachelor's degree focusing on humanities, social sciences, or fine arts.",TRUE
240,Master of Business Administration,"A graduate-level degree focusing on business management, leadership, and organizational strategies.",FALSE
241,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",FALSE
242,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",FALSE
243,Doctor of Education,"A doctoral degree that focuses on education theory, practice, and leadership in educational settings.",TRUE
244,Juris Doctor,"A professional graduate degree in law, typically required to practice law in many countries.",FALSE
245,Doctor of Philosophy,"A doctoral degree that typically requires extensive research, academic writing, and original contributions to knowledge.",TRUE
246,Bachelor of Science,"A bachelor's degree focusing on science, technology, engineering, or mathematics fields.",TRUE
247,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",TRUE
248,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",TRUE
249,Associate Degree,"A two-year degree typically awarded by community colleges, often a stepping stone to a bachelor's degree.",FALSE
250,Bachelor of Arts,"A bachelor's degree focusing on humanities, social sciences, or fine arts.",TRUE
251,Doctor of Education,"A doctoral degree that focuses on education theory, practice, and leadership in educational settings.",TRUE
252,Master of Business Administration,"A graduate-level degree focusing on business management, leadership, and organizational strategies.",FALSE
253,Associate Degree,"A two-year degree typically awarded by community colleges, often a stepping stone to a bachelor's degree.",TRUE
254,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",FALSE
255,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",FALSE
256,Associate Degree,"A two-year degree typically awarded by community colleges, often a stepping stone to a bachelor's degree.",FALSE
257,Master of Business Administration,"A graduate-level degree focusing on business management, leadership, and organizational strategies.",TRUE
258,Master of Science,"A graduate-level degree focusing on advanced knowledge and research in science, technology, and engineering.",FALSE
259,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",FALSE
260,Bachelor of Science,"A bachelor's degree focusing on science, technology, engineering, or mathematics fields.",TRUE
261,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",FALSE
262,Juris Doctor,"A professional graduate degree in law, typically required to practice law in many countries.",FALSE
263,Associate Degree,"A two-year degree typically awarded by community colleges, often a stepping stone to a bachelor's degree.",FALSE
264,Engineering Degree,"A degree focusing on the principles of engineering, including mechanical, civil, electrical, and software engineering.",FALSE
265,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",TRUE
266,Bachelor of Arts,"A bachelor's degree focusing on humanities, social sciences, or fine arts.",TRUE
267,Doctor of Education,"A doctoral degree that focuses on education theory, practice, and leadership in educational settings.",FALSE
268,Bachelor of Science,"A bachelor's degree focusing on science, technology, engineering, or mathematics fields.",TRUE
269,Master of Science,"A graduate-level degree focusing on advanced knowledge and research in science, technology, and engineering.",TRUE
270,Engineering Degree,"A degree focusing on the principles of engineering, including mechanical, civil, electrical, and software engineering.",FALSE
271,Engineering Degree,"A degree focusing on the principles of engineering, including mechanical, civil, electrical, and software engineering.",TRUE
272,Engineering Degree,"A degree focusing on the principles of engineering, including mechanical, civil, electrical, and software engineering.",TRUE
273,Juris Doctor,"A professional graduate degree in law, typically required to practice law in many countries.",TRUE
274,Associate Degree,"A two-year degree typically awarded by community colleges, often a stepping stone to a bachelor's degree.",FALSE
275,Master of Science,"A graduate-level degree focusing on advanced knowledge and research in science, technology, and engineering.",TRUE
276,Master of Science,"A graduate-level degree focusing on advanced knowledge and research in science, technology, and engineering.",FALSE
277,Doctor of Philosophy,"A doctoral degree that typically requires extensive research, academic writing, and original contributions to knowledge.",FALSE
278,Doctor of Philosophy,"A doctoral degree that typically requires extensive research, academic writing, and original contributions to knowledge.",TRUE
279,Bachelor of Arts,"A bachelor's degree focusing on humanities, social sciences, or fine arts.",TRUE
280,Doctor of Education,"A doctoral degree that focuses on education theory, practice, and leadership in educational settings.",FALSE
281,Bachelor of Arts,"A bachelor's degree focusing on humanities, social sciences, or fine arts.",FALSE
282,Bachelor of Science,"A bachelor's degree focusing on science, technology, engineering, or mathematics fields.",TRUE
283,Doctor of Philosophy,"A doctoral degree that typically requires extensive research, academic writing, and original contributions to knowledge.",TRUE
284,Bachelor of Arts,"A bachelor's degree focusing on humanities, social sciences, or fine arts.",FALSE
285,Doctor of Education,"A doctoral degree that focuses on education theory, practice, and leadership in educational settings.",FALSE
286,Bachelor of Science,"A bachelor's degree focusing on science, technology, engineering, or mathematics fields.",FALSE
287,Master of Science,"A graduate-level degree focusing on advanced knowledge and research in science, technology, and engineering.",FALSE
288,Juris Doctor,"A professional graduate degree in law, typically required to practice law in many countries.",TRUE
289,Master of Business Administration,"A graduate-level degree focusing on business management, leadership, and organizational strategies.",TRUE
290,Juris Doctor,"A professional graduate degree in law, typically required to practice law in many countries.",TRUE
291,Master of Business Administration,"A graduate-level degree focusing on business management, leadership, and organizational strategies.",FALSE
292,Doctor of Philosophy,"A doctoral degree that typically requires extensive research, academic writing, and original contributions to knowledge.",FALSE
293,Master of Business Administration,"A graduate-level degree focusing on business management, leadership, and organizational strategies.",FALSE
