GTS_LANGUAGE_ID,GTS_LANGUAGE_NAME,GTS_LANGUAGE_DESCRIPTION,GTS_LANGUAGE_STATUS
60,Mandarin,"Mandarin is the most spoken language globally, primarily used in China and other regions with significant Chinese-speaking populations.",FALSE
61,Russian,Russian is the most widely spoken language in Russia and one of the six official languages of the United Nations.,TRUE
62,English,"English is the official language in many countries and a global lingua franca, used for international business, diplomacy, and technology.",FALSE
63,Portuguese,"Portuguese is spoken in several countries including Portugal, Brazil, and parts of Africa, with a rich history in exploration and colonization.",FALSE
64,Russian,Russian is the most widely spoken language in Russia and one of the six official languages of the United Nations.,TRUE
65,Bengali,"Bengali is the primary language of Bangladesh and the second most spoken language in India, with a rich literary tradition.",TRUE
66,Japanese,Japanese is spoken primarily in Japan and is known for its unique writing system and cultural significance.,FALSE
67,Arabic,Arabic is the official language of many Middle Eastern and North African countries and is crucial for religious and cultural studies.,FALSE
68,French,"French is an official language in numerous international organizations and is spoken across Europe, Africa, and parts of North America.",TRUE
69,Japanese,Japanese is spoken primarily in Japan and is known for its unique writing system and cultural significance.,FALSE
70,Portuguese,"Portuguese is spoken in several countries including Portugal, Brazil, and parts of Africa, with a rich history in exploration and colonization.",FALSE
71,Spanish,"Spanish is widely spoken across Europe, Latin America, and parts of the United States, known for its rich cultural history.",FALSE
72,Arabic,Arabic is the official language of many Middle Eastern and North African countries and is crucial for religious and cultural studies.,TRUE
73,Japanese,Japanese is spoken primarily in Japan and is known for its unique writing system and cultural significance.,FALSE
74,Arabic,Arabic is the official language of many Middle Eastern and North African countries and is crucial for religious and cultural studies.,TRUE
75,Mandarin,"Mandarin is the most spoken language globally, primarily used in China and other regions with significant Chinese-speaking populations.",FALSE
76,English,"English is the official language in many countries and a global lingua franca, used for international business, diplomacy, and technology.",TRUE
77,English,"English is the official language in many countries and a global lingua franca, used for international business, diplomacy, and technology.",TRUE
78,Bengali,"Bengali is the primary language of Bangladesh and the second most spoken language in India, with a rich literary tradition.",FALSE
79,Spanish,"Spanish is widely spoken across Europe, Latin America, and parts of the United States, known for its rich cultural history.",TRUE
80,Mandarin,"Mandarin is the most spoken language globally, primarily used in China and other regions with significant Chinese-speaking populations.",TRUE
81,Mandarin,"Mandarin is the most spoken language globally, primarily used in China and other regions with significant Chinese-speaking populations.",FALSE
82,Arabic,Arabic is the official language of many Middle Eastern and North African countries and is crucial for religious and cultural studies.,TRUE
83,Russian,Russian is the most widely spoken language in Russia and one of the six official languages of the United Nations.,FALSE
84,Bengali,"Bengali is the primary language of Bangladesh and the second most spoken language in India, with a rich literary tradition.",TRUE
85,Spanish,"Spanish is widely spoken across Europe, Latin America, and parts of the United States, known for its rich cultural history.",TRUE
86,Russian,Russian is the most widely spoken language in Russia and one of the six official languages of the United Nations.,TRUE
87,French,"French is an official language in numerous international organizations and is spoken across Europe, Africa, and parts of North America.",TRUE
88,Hindi,"Hindi is one of the official languages of India, spoken by millions and recognized as an important cultural and literary language.",TRUE
89,Spanish,"Spanish is widely spoken across Europe, Latin America, and parts of the United States, known for its rich cultural history.",TRUE
90,Mandarin,"Mandarin is the most spoken language globally, primarily used in China and other regions with significant Chinese-speaking populations.",TRUE
91,English,"English is the official language in many countries and a global lingua franca, used for international business, diplomacy, and technology.",FALSE
92,French,"French is an official language in numerous international organizations and is spoken across Europe, Africa, and parts of North America.",TRUE
93,Russian,Russian is the most widely spoken language in Russia and one of the six official languages of the United Nations.,TRUE
94,French,"French is an official language in numerous international organizations and is spoken across Europe, Africa, and parts of North America.",TRUE
95,Portuguese,"Portuguese is spoken in several countries including Portugal, Brazil, and parts of Africa, with a rich history in exploration and colonization.",TRUE
96,Russian,Russian is the most widely spoken language in Russia and one of the six official languages of the United Nations.,TRUE
97,Arabic,Arabic is the official language of many Middle Eastern and North African countries and is crucial for religious and cultural studies.,TRUE
98,Hindi,"Hindi is one of the official languages of India, spoken by millions and recognized as an important cultural and literary language.",FALSE
99,French,"French is an official language in numerous international organizations and is spoken across Europe, Africa, and parts of North America.",FALSE
100,Russian,Russian is the most widely spoken language in Russia and one of the six official languages of the United Nations.,FALSE
101,Mandarin,"Mandarin is the most spoken language globally, primarily used in China and other regions with significant Chinese-speaking populations.",TRUE
102,Russian,Russian is the most widely spoken language in Russia and one of the six official languages of the United Nations.,FALSE
103,Spanish,"Spanish is widely spoken across Europe, Latin America, and parts of the United States, known for its rich cultural history.",TRUE
104,Japanese,Japanese is spoken primarily in Japan and is known for its unique writing system and cultural significance.,TRUE
105,Japanese,Japanese is spoken primarily in Japan and is known for its unique writing system and cultural significance.,TRUE
106,Arabic,Arabic is the official language of many Middle Eastern and North African countries and is crucial for religious and cultural studies.,FALSE
107,English,"English is the official language in many countries and a global lingua franca, used for international business, diplomacy, and technology.",TRUE
108,Arabic,Arabic is the official language of many Middle Eastern and North African countries and is crucial for religious and cultural studies.,FALSE
109,Spanish,"Spanish is widely spoken across Europe, Latin America, and parts of the United States, known for its rich cultural history.",TRUE
110,Spanish,"Spanish is widely spoken across Europe, Latin America, and parts of the United States, known for its rich cultural history.",TRUE
111,Mandarin,"Mandarin is the most spoken language globally, primarily used in China and other regions with significant Chinese-speaking populations.",TRUE
112,Bengali,"Bengali is the primary language of Bangladesh and the second most spoken language in India, with a rich literary tradition.",TRUE
113,Portuguese,"Portuguese is spoken in several countries including Portugal, Brazil, and parts of Africa, with a rich history in exploration and colonization.",FALSE
114,Hindi,"Hindi is one of the official languages of India, spoken by millions and recognized as an important cultural and literary language.",FALSE
115,Russian,Russian is the most widely spoken language in Russia and one of the six official languages of the United Nations.,TRUE
116,Hindi,"Hindi is one of the official languages of India, spoken by millions and recognized as an important cultural and literary language.",FALSE
117,Hindi,"Hindi is one of the official languages of India, spoken by millions and recognized as an important cultural and literary language.",FALSE
118,Spanish,"Spanish is widely spoken across Europe, Latin America, and parts of the United States, known for its rich cultural history.",TRUE
119,Spanish,"Spanish is widely spoken across Europe, Latin America, and parts of the United States, known for its rich cultural history.",TRUE
120,Bengali,"Bengali is the primary language of Bangladesh and the second most spoken language in India, with a rich literary tradition.",TRUE
121,Bengali,"Bengali is the primary language of Bangladesh and the second most spoken language in India, with a rich literary tradition.",TRUE
122,Spanish,"Spanish is widely spoken across Europe, Latin America, and parts of the United States, known for its rich cultural history.",FALSE
123,English,"English is the official language in many countries and a global lingua franca, used for international business, diplomacy, and technology.",TRUE
124,French,"French is an official language in numerous international organizations and is spoken across Europe, Africa, and parts of North America.",TRUE
125,Russian,Russian is the most widely spoken language in Russia and one of the six official languages of the United Nations.,TRUE
126,Arabic,Arabic is the official language of many Middle Eastern and North African countries and is crucial for religious and cultural studies.,FALSE
127,Bengali,"Bengali is the primary language of Bangladesh and the second most spoken language in India, with a rich literary tradition.",TRUE
128,Russian,Russian is the most widely spoken language in Russia and one of the six official languages of the United Nations.,FALSE
129,Spanish,"Spanish is widely spoken across Europe, Latin America, and parts of the United States, known for its rich cultural history.",TRUE
130,Mandarin,"Mandarin is the most spoken language globally, primarily used in China and other regions with significant Chinese-speaking populations.",TRUE
131,Japanese,Japanese is spoken primarily in Japan and is known for its unique writing system and cultural significance.,FALSE
132,French,"French is an official language in numerous international organizations and is spoken across Europe, Africa, and parts of North America.",FALSE
133,Bengali,"Bengali is the primary language of Bangladesh and the second most spoken language in India, with a rich literary tradition.",FALSE
134,Hindi,"Hindi is one of the official languages of India, spoken by millions and recognized as an important cultural and literary language.",FALSE
135,Mandarin,"Mandarin is the most spoken language globally, primarily used in China and other regions with significant Chinese-speaking populations.",FALSE
136,Portuguese,"Portuguese is spoken in several countries including Portugal, Brazil, and parts of Africa, with a rich history in exploration and colonization.",FALSE
137,Portuguese,"Portuguese is spoken in several countries including Portugal, Brazil, and parts of Africa, with a rich history in exploration and colonization.",TRUE
138,Hindi,"Hindi is one of the official languages of India, spoken by millions and recognized as an important cultural and literary language.",FALSE
139,French,"French is an official language in numerous international organizations and is spoken across Europe, Africa, and parts of North America.",FALSE
140,Japanese,Japanese is spoken primarily in Japan and is known for its unique writing system and cultural significance.,TRUE
141,Spanish,"Spanish is widely spoken across Europe, Latin America, and parts of the United States, known for its rich cultural history.",TRUE
142,Japanese,Japanese is spoken primarily in Japan and is known for its unique writing system and cultural significance.,TRUE
143,Portuguese,"Portuguese is spoken in several countries including Portugal, Brazil, and parts of Africa, with a rich history in exploration and colonization.",TRUE
144,French,"French is an official language in numerous international organizations and is spoken across Europe, Africa, and parts of North America.",FALSE
145,English,"English is the official language in many countries and a global lingua franca, used for international business, diplomacy, and technology.",TRUE
146,Japanese,Japanese is spoken primarily in Japan and is known for its unique writing system and cultural significance.,TRUE
147,Bengali,"Bengali is the primary language of Bangladesh and the second most spoken language in India, with a rich literary tradition.",TRUE
148,Bengali,"Bengali is the primary language of Bangladesh and the second most spoken language in India, with a rich literary tradition.",FALSE
149,Portuguese,"Portuguese is spoken in several countries including Portugal, Brazil, and parts of Africa, with a rich history in exploration and colonization.",TRUE
150,Arabic,Arabic is the official language of many Middle Eastern and North African countries and is crucial for religious and cultural studies.,FALSE
151,Spanish,"Spanish is widely spoken across Europe, Latin America, and parts of the United States, known for its rich cultural history.",TRUE
152,English,"English is the official language in many countries and a global lingua franca, used for international business, diplomacy, and technology.",FALSE
153,Spanish,"Spanish is widely spoken across Europe, Latin America, and parts of the United States, known for its rich cultural history.",TRUE
154,Portuguese,"Portuguese is spoken in several countries including Portugal, Brazil, and parts of Africa, with a rich history in exploration and colonization.",TRUE
155,Hindi,"Hindi is one of the official languages of India, spoken by millions and recognized as an important cultural and literary language.",FALSE
156,Russian,Russian is the most widely spoken language in Russia and one of the six official languages of the United Nations.,TRUE
157,Mandarin,"Mandarin is the most spoken language globally, primarily used in China and other regions with significant Chinese-speaking populations.",TRUE
158,Russian,Russian is the most widely spoken language in Russia and one of the six official languages of the United Nations.,TRUE
159,English,"English is the official language in many countries and a global lingua franca, used for international business, diplomacy, and technology.",TRUE
160,Bengali,"Bengali is the primary language of Bangladesh and the second most spoken language in India, with a rich literary tradition.",TRUE
161,Portuguese,"Portuguese is spoken in several countries including Portugal, Brazil, and parts of Africa, with a rich history in exploration and colonization.",TRUE
162,Bengali,"Bengali is the primary language of Bangladesh and the second most spoken language in India, with a rich literary tradition.",TRUE
163,English,"English is the official language in many countries and a global lingua franca, used for international business, diplomacy, and technology.",TRUE
164,French,"French is an official language in numerous international organizations and is spoken across Europe, Africa, and parts of North America.",TRUE
165,English,"English is the official language in many countries and a global lingua franca, used for international business, diplomacy, and technology.",TRUE
166,Portuguese,"Portuguese is spoken in several countries including Portugal, Brazil, and parts of Africa, with a rich history in exploration and colonization.",FALSE
167,Russian,Russian is the most widely spoken language in Russia and one of the six official languages of the United Nations.,TRUE
168,Russian,Russian is the most widely spoken language in Russia and one of the six official languages of the United Nations.,FALSE
169,Arabic,Arabic is the official language of many Middle Eastern and North African countries and is crucial for religious and cultural studies.,TRUE
170,Arabic,Arabic is the official language of many Middle Eastern and North African countries and is crucial for religious and cultural studies.,TRUE
171,Hindi,"Hindi is one of the official languages of India, spoken by millions and recognized as an important cultural and literary language.",TRUE
172,Arabic,Arabic is the official language of many Middle Eastern and North African countries and is crucial for religious and cultural studies.,TRUE
173,Arabic,Arabic is the official language of many Middle Eastern and North African countries and is crucial for religious and cultural studies.,TRUE
174,French,"French is an official language in numerous international organizations and is spoken across Europe, Africa, and parts of North America.",TRUE
175,Japanese,Japanese is spoken primarily in Japan and is known for its unique writing system and cultural significance.,TRUE
176,Spanish,"Spanish is widely spoken across Europe, Latin America, and parts of the United States, known for its rich cultural history.",FALSE
177,Russian,Russian is the most widely spoken language in Russia and one of the six official languages of the United Nations.,TRUE
178,Russian,Russian is the most widely spoken language in Russia and one of the six official languages of the United Nations.,TRUE
179,Bengali,"Bengali is the primary language of Bangladesh and the second most spoken language in India, with a rich literary tradition.",TRUE
180,Hindi,"Hindi is one of the official languages of India, spoken by millions and recognized as an important cultural and literary language.",FALSE
181,Portuguese,"Portuguese is spoken in several countries including Portugal, Brazil, and parts of Africa, with a rich history in exploration and colonization.",TRUE
182,Hindi,"Hindi is one of the official languages of India, spoken by millions and recognized as an important cultural and literary language.",TRUE
183,Russian,Russian is the most widely spoken language in Russia and one of the six official languages of the United Nations.,FALSE
184,Japanese,Japanese is spoken primarily in Japan and is known for its unique writing system and cultural significance.,TRUE
185,Mandarin,"Mandarin is the most spoken language globally, primarily used in China and other regions with significant Chinese-speaking populations.",TRUE
186,Russian,Russian is the most widely spoken language in Russia and one of the six official languages of the United Nations.,FALSE
187,French,"French is an official language in numerous international organizations and is spoken across Europe, Africa, and parts of North America.",TRUE
188,French,"French is an official language in numerous international organizations and is spoken across Europe, Africa, and parts of North America.",TRUE
189,Russian,Russian is the most widely spoken language in Russia and one of the six official languages of the United Nations.,TRUE
190,Mandarin,"Mandarin is the most spoken language globally, primarily used in China and other regions with significant Chinese-speaking populations.",FALSE
191,Mandarin,"Mandarin is the most spoken language globally, primarily used in China and other regions with significant Chinese-speaking populations.",TRUE
192,English,"English is the official language in many countries and a global lingua franca, used for international business, diplomacy, and technology.",TRUE
193,Japanese,Japanese is spoken primarily in Japan and is known for its unique writing system and cultural significance.,TRUE
194,Japanese,Japanese is spoken primarily in Japan and is known for its unique writing system and cultural significance.,TRUE
195,French,"French is an official language in numerous international organizations and is spoken across Europe, Africa, and parts of North America.",TRUE
196,Spanish,"Spanish is widely spoken across Europe, Latin America, and parts of the United States, known for its rich cultural history.",FALSE
197,English,"English is the official language in many countries and a global lingua franca, used for international business, diplomacy, and technology.",TRUE
198,Arabic,Arabic is the official language of many Middle Eastern and North African countries and is crucial for religious and cultural studies.,TRUE
199,Arabic,Arabic is the official language of many Middle Eastern and North African countries and is crucial for religious and cultural studies.,FALSE
200,Portuguese,"Portuguese is spoken in several countries including Portugal, Brazil, and parts of Africa, with a rich history in exploration and colonization.",TRUE
201,Russian,Russian is the most widely spoken language in Russia and one of the six official languages of the United Nations.,FALSE
202,French,"French is an official language in numerous international organizations and is spoken across Europe, Africa, and parts of North America.",FALSE
203,Spanish,"Spanish is widely spoken across Europe, Latin America, and parts of the United States, known for its rich cultural history.",TRUE
204,Bengali,"Bengali is the primary language of Bangladesh and the second most spoken language in India, with a rich literary tradition.",FALSE
205,English,"English is the official language in many countries and a global lingua franca, used for international business, diplomacy, and technology.",TRUE
206,Bengali,"Bengali is the primary language of Bangladesh and the second most spoken language in India, with a rich literary tradition.",TRUE
207,Japanese,Japanese is spoken primarily in Japan and is known for its unique writing system and cultural significance.,FALSE
208,Arabic,Arabic is the official language of many Middle Eastern and North African countries and is crucial for religious and cultural studies.,TRUE
209,Bengali,"Bengali is the primary language of Bangladesh and the second most spoken language in India, with a rich literary tradition.",FALSE
210,Bengali,"Bengali is the primary language of Bangladesh and the second most spoken language in India, with a rich literary tradition.",FALSE
211,English,"English is the official language in many countries and a global lingua franca, used for international business, diplomacy, and technology.",TRUE
212,Spanish,"Spanish is widely spoken across Europe, Latin America, and parts of the United States, known for its rich cultural history.",TRUE
213,Japanese,Japanese is spoken primarily in Japan and is known for its unique writing system and cultural significance.,TRUE
214,Japanese,Japanese is spoken primarily in Japan and is known for its unique writing system and cultural significance.,FALSE
215,Japanese,Japanese is spoken primarily in Japan and is known for its unique writing system and cultural significance.,TRUE
216,Hindi,"Hindi is one of the official languages of India, spoken by millions and recognized as an important cultural and literary language.",TRUE
217,Portuguese,"Portuguese is spoken in several countries including Portugal, Brazil, and parts of Africa, with a rich history in exploration and colonization.",TRUE
218,Spanish,"Spanish is widely spoken across Europe, Latin America, and parts of the United States, known for its rich cultural history.",TRUE
219,Bengali,"Bengali is the primary language of Bangladesh and the second most spoken language in India, with a rich literary tradition.",TRUE
220,Bengali,"Bengali is the primary language of Bangladesh and the second most spoken language in India, with a rich literary tradition.",FALSE
221,Spanish,"Spanish is widely spoken across Europe, Latin America, and parts of the United States, known for its rich cultural history.",TRUE
222,Bengali,"Bengali is the primary language of Bangladesh and the second most spoken language in India, with a rich literary tradition.",TRUE
223,Portuguese,"Portuguese is spoken in several countries including Portugal, Brazil, and parts of Africa, with a rich history in exploration and colonization.",FALSE
224,Arabic,Arabic is the official language of many Middle Eastern and North African countries and is crucial for religious and cultural studies.,TRUE
225,Hindi,"Hindi is one of the official languages of India, spoken by millions and recognized as an important cultural and literary language.",FALSE
226,Spanish,"Spanish is widely spoken across Europe, Latin America, and parts of the United States, known for its rich cultural history.",TRUE
227,Japanese,Japanese is spoken primarily in Japan and is known for its unique writing system and cultural significance.,TRUE
228,English,"English is the official language in many countries and a global lingua franca, used for international business, diplomacy, and technology.",TRUE
229,Portuguese,"Portuguese is spoken in several countries including Portugal, Brazil, and parts of Africa, with a rich history in exploration and colonization.",TRUE
230,Mandarin,"Mandarin is the most spoken language globally, primarily used in China and other regions with significant Chinese-speaking populations.",TRUE
231,Arabic,Arabic is the official language of many Middle Eastern and North African countries and is crucial for religious and cultural studies.,FALSE
232,Arabic,Arabic is the official language of many Middle Eastern and North African countries and is crucial for religious and cultural studies.,TRUE
233,French,"French is an official language in numerous international organizations and is spoken across Europe, Africa, and parts of North America.",FALSE
234,Mandarin,"Mandarin is the most spoken language globally, primarily used in China and other regions with significant Chinese-speaking populations.",TRUE
235,Hindi,"Hindi is one of the official languages of India, spoken by millions and recognized as an important cultural and literary language.",TRUE
236,Arabic,Arabic is the official language of many Middle Eastern and North African countries and is crucial for religious and cultural studies.,FALSE
237,Japanese,Japanese is spoken primarily in Japan and is known for its unique writing system and cultural significance.,FALSE
238,Bengali,"Bengali is the primary language of Bangladesh and the second most spoken language in India, with a rich literary tradition.",FALSE
239,Bengali,"Bengali is the primary language of Bangladesh and the second most spoken language in India, with a rich literary tradition.",FALSE
240,English,"English is the official language in many countries and a global lingua franca, used for international business, diplomacy, and technology.",TRUE
241,Arabic,Arabic is the official language of many Middle Eastern and North African countries and is crucial for religious and cultural studies.,TRUE
242,Portuguese,"Portuguese is spoken in several countries including Portugal, Brazil, and parts of Africa, with a rich history in exploration and colonization.",FALSE
243,Russian,Russian is the most widely spoken language in Russia and one of the six official languages of the United Nations.,FALSE
244,Japanese,Japanese is spoken primarily in Japan and is known for its unique writing system and cultural significance.,TRUE
245,Spanish,"Spanish is widely spoken across Europe, Latin America, and parts of the United States, known for its rich cultural history.",TRUE
246,Hindi,"Hindi is one of the official languages of India, spoken by millions and recognized as an important cultural and literary language.",TRUE
247,Arabic,Arabic is the official language of many Middle Eastern and North African countries and is crucial for religious and cultural studies.,TRUE
248,Spanish,"Spanish is widely spoken across Europe, Latin America, and parts of the United States, known for its rich cultural history.",FALSE
249,Arabic,Arabic is the official language of many Middle Eastern and North African countries and is crucial for religious and cultural studies.,TRUE
250,Hindi,"Hindi is one of the official languages of India, spoken by millions and recognized as an important cultural and literary language.",FALSE
251,Bengali,"Bengali is the primary language of Bangladesh and the second most spoken language in India, with a rich literary tradition.",TRUE
252,Russian,Russian is the most widely spoken language in Russia and one of the six official languages of the United Nations.,TRUE
253,Hindi,"Hindi is one of the official languages of India, spoken by millions and recognized as an important cultural and literary language.",FALSE
254,Russian,Russian is the most widely spoken language in Russia and one of the six official languages of the United Nations.,FALSE
255,English,"English is the official language in many countries and a global lingua franca, used for international business, diplomacy, and technology.",FALSE
256,French,"French is an official language in numerous international organizations and is spoken across Europe, Africa, and parts of North America.",FALSE
257,English,"English is the official language in many countries and a global lingua franca, used for international business, diplomacy, and technology.",TRUE
258,Mandarin,"Mandarin is the most spoken language globally, primarily used in China and other regions with significant Chinese-speaking populations.",FALSE
259,Russian,Russian is the most widely spoken language in Russia and one of the six official languages of the United Nations.,TRUE
260,Mandarin,"Mandarin is the most spoken language globally, primarily used in China and other regions with significant Chinese-speaking populations.",TRUE
261,Spanish,"Spanish is widely spoken across Europe, Latin America, and parts of the United States, known for its rich cultural history.",TRUE
262,French,"French is an official language in numerous international organizations and is spoken across Europe, Africa, and parts of North America.",TRUE
263,Japanese,Japanese is spoken primarily in Japan and is known for its unique writing system and cultural significance.,TRUE
264,Bengali,"Bengali is the primary language of Bangladesh and the second most spoken language in India, with a rich literary tradition.",TRUE
265,Mandarin,"Mandarin is the most spoken language globally, primarily used in China and other regions with significant Chinese-speaking populations.",FALSE
266,Japanese,Japanese is spoken primarily in Japan and is known for its unique writing system and cultural significance.,TRUE
267,Mandarin,"Mandarin is the most spoken language globally, primarily used in China and other regions with significant Chinese-speaking populations.",TRUE
268,Bengali,"Bengali is the primary language of Bangladesh and the second most spoken language in India, with a rich literary tradition.",TRUE
269,Mandarin,"Mandarin is the most spoken language globally, primarily used in China and other regions with significant Chinese-speaking populations.",TRUE
270,Russian,Russian is the most widely spoken language in Russia and one of the six official languages of the United Nations.,TRUE
271,Hindi,"Hindi is one of the official languages of India, spoken by millions and recognized as an important cultural and literary language.",TRUE
272,Portuguese,"Portuguese is spoken in several countries including Portugal, Brazil, and parts of Africa, with a rich history in exploration and colonization.",FALSE
273,Japanese,Japanese is spoken primarily in Japan and is known for its unique writing system and cultural significance.,FALSE
274,Mandarin,"Mandarin is the most spoken language globally, primarily used in China and other regions with significant Chinese-speaking populations.",TRUE
275,Hindi,"Hindi is one of the official languages of India, spoken by millions and recognized as an important cultural and literary language.",FALSE
276,Bengali,"Bengali is the primary language of Bangladesh and the second most spoken language in India, with a rich literary tradition.",TRUE
277,Spanish,"Spanish is widely spoken across Europe, Latin America, and parts of the United States, known for its rich cultural history.",TRUE
278,Russian,Russian is the most widely spoken language in Russia and one of the six official languages of the United Nations.,TRUE
279,English,"English is the official language in many countries and a global lingua franca, used for international business, diplomacy, and technology.",TRUE
280,Russian,Russian is the most widely spoken language in Russia and one of the six official languages of the United Nations.,TRUE
281,Portuguese,"Portuguese is spoken in several countries including Portugal, Brazil, and parts of Africa, with a rich history in exploration and colonization.",TRUE
